"PERIODO","MES","SEMANA","FESTIVOS","HERIDOS.R"
2018,"4",16,0,410
2018,"4",17,0,423
2018,"4",15,0,434
2018,"4",18,0,52
2018,"5",19,0,418
2018,"5",21,0,448
2018,"5",20,0,320
2018,"5",20,1,44
2018,"5",18,0,339
2018,"5",18,1,36
2018,"5",22,0,265
2018,"7",27,0,327
2018,"7",27,1,47
2018,"7",28,0,389
2018,"7",26,0,38
2018,"7",29,0,382
2018,"7",29,1,43
2018,"7",30,0,458
2018,"7",31,0,127
2018,"10",40,0,420
2018,"10",41,0,399
2018,"10",42,1,33
2018,"10",42,0,335
2018,"10",43,0,388
2018,"10",44,0,241
2018,"12",48,0,104
2018,"12",52,0,301
2018,"12",52,1,52
2018,"12",53,0,49
2018,"12",51,0,416
2018,"12",49,0,362
2018,"12",49,1,35
2018,"12",50,0,416
2018,"6",25,0,436
2018,"6",26,0,354
2018,"6",24,0,383
2018,"6",24,1,49
2018,"6",22,0,176
2018,"6",23,0,352
2018,"6",23,1,55
2018,"8",33,0,440
2018,"8",34,0,354
2018,"8",34,1,47
2018,"8",32,1,45
2018,"8",32,0,362
2018,"8",31,0,301
2018,"8",35,0,304
2018,"9",38,0,408
2018,"9",39,0,415
2018,"9",37,0,406
2018,"9",36,0,459
2018,"9",35,0,469
2018,"11",47,0,410
2018,"11",45,0,290
2018,"11",45,1,33
2018,"11",46,0,293
2018,"11",46,1,43
2018,"11",48,0,279
2018,"11",44,0,234
