"PERIODO","MES","SEMANA","FESTIVOS","SOLO_DANOS.R"
2016,"12",49,1,25
2016,"12",50,0,426
2016,"12",51,0,477
2016,"12",52,0,320
2016,"12",52,1,22
2016,"12",53,0,69
2017,"7",27,0,329
2017,"7",27,1,16
2017,"7",30,0,406
2017,"7",28,0,368
2017,"7",26,0,59
2017,"7",29,0,363
2017,"7",29,1,34
2017,"7",31,0,109
2017,"5",19,0,391
2017,"5",22,0,140
2017,"5",22,1,27
2017,"5",18,0,350
2017,"5",18,1,28
2017,"5",20,0,414
2017,"5",21,0,368
2017,"6",26,0,305
2017,"6",23,0,390
2017,"6",24,0,403
2017,"6",25,0,305
2017,"6",25,1,30
2017,"6",22,0,208
2017,"4",16,0,315
2017,"4",16,1,21
2017,"4",17,0,428
2017,"4",13,0,66
2017,"4",14,0,401
2017,"4",15,0,243
2017,"4",15,1,48
2017,"4",18,0,29
2017,"2",8,0,440
2017,"2",6,0,396
2017,"2",7,0,418
2017,"2",9,0,152
2017,"2",5,0,218
2017,"3",13,0,358
2017,"3",9,0,234
2017,"3",10,0,393
2017,"3",11,0,365
2017,"3",12,0,301
2017,"3",12,1,17
2017,"1",5,0,146
2017,"1",1,1,20
2017,"1",1,0,212
2017,"1",2,0,263
2017,"1",2,1,18
2017,"1",3,0,368
2017,"1",4,0,401
2017,"8",31,0,340
2017,"8",34,0,322
2017,"8",34,1,29
2017,"8",35,0,241
2017,"8",32,0,354
2017,"8",32,1,40
2017,"8",33,0,457
2017,"12",50,0,408
2017,"12",48,0,140
2017,"12",51,0,465
2017,"12",52,1,20
2017,"12",52,0,242
2017,"12",49,0,372
2017,"12",49,1,33
2017,"12",53,0,21
2017,"11",45,0,284
2017,"11",45,1,24
2017,"11",46,1,26
2017,"11",46,0,387
2017,"11",47,0,383
2017,"11",44,0,234
2017,"11",48,0,278
2017,"10",44,0,162
2017,"10",43,0,382
2017,"10",40,0,432
2017,"10",42,0,352
2017,"10",42,1,26
2017,"10",41,0,355
2017,"9",39,0,372
2017,"9",38,0,430
2017,"9",36,0,394
2017,"9",37,0,416
2017,"9",35,0,381.5
2018,"1",1,0,214
2018,"1",1,1,21
2018,"1",2,0,229
2018,"1",2,1,13
2018,"1",3,0,369
2018,"1",4,0,326
2018,"1",5,0,147
2018,"2",5,0,236
2018,"2",7,0,414
2018,"2",6,0,374
2018,"2",8,0,401
2018,"2",9,0,164
2018,"3",13,1,31
2018,"3",13,0,188
2018,"3",12,0,303
2018,"3",12,1,54
2018,"3",11,0,369
2018,"3",10,0,335
2018,"3",9,0,215
2018,"4",14,0,407
2018,"4",13,1,30
2018,"4",16,0,381
2018,"4",17,0,379
2018,"4",15,0,359
2018,"4",18,0,59
2018,"5",19,0,423
2018,"5",21,0,396
2018,"5",20,0,365
2018,"5",20,1,24
2018,"5",18,0,232
2018,"5",18,1,16
2018,"5",22,0,199
2018,"7",27,0,259
2018,"7",27,1,29
2018,"7",28,0,371
2018,"7",26,0,23
2018,"7",29,0,338
2018,"7",29,1,37
2018,"7",30,0,366
2018,"7",31,0,115
2018,"10",40,0,402
2018,"10",41,0,373
2018,"10",42,1,26
2018,"10",42,0,336
2018,"10",43,0,396
2018,"10",44,0,200
2018,"12",48,0,99
2018,"12",52,0,285
2018,"12",52,1,22
2018,"12",53,0,29
2018,"12",51,0,400
2018,"12",49,0,375
2018,"12",49,1,42
2018,"12",50,0,432
2018,"6",25,0,366
2018,"6",26,0,291
2018,"6",24,0,313
2018,"6",24,1,29
2018,"6",22,0,166
2018,"6",23,0,321
2018,"6",23,1,23
2018,"8",33,0,408
2018,"8",34,0,353
2018,"8",34,1,25
2018,"8",32,1,28
2018,"8",32,0,353
2018,"8",31,0,291
2018,"8",35,0,305
2018,"9",38,0,400
2018,"9",39,0,430
2018,"9",37,0,380
2018,"9",36,0,383
2018,"9",35,0,381.5
2018,"11",47,0,410
2018,"11",45,0,357
2018,"11",45,1,35
2018,"11",46,0,419
2018,"11",46,1,26
2018,"11",48,0,222
2018,"11",44,0,223
