SOLO_DANOS;ANYO;SEMANA;FESTIVOS;SEMANA_SANTA;COLOMBIAMODA;FERIA_FLORES;ENERO_1;PUENTE_REYES;DIC_31;DIC_24
423;5;19;0;0;0;0;0;0;0;0
396;5;21;0;0;0;0;0;0;0;0
365;5;20;0;0;0;0;0;0;0;0
24;5;20;1;0;0;0;0;0;0;0
291;5;18;0;0;0;0;0;0;0;0
16;5;18;1;0;0;0;0;0;0;0
381;5;16;0;0;0;0;0;0;0;0
379;5;17;0;0;0;0;0;0;0;0
359;5;15;0;0;0;0;0;0;0;0
365;5;22;0;0;0;0;0;0;0;0
259;5;27;0;0;0;0;0;0;0;0
29;5;27;1;0;0;0;0;0;0;0
402;5;40;0;0;0;0;0;0;0;0
321;5;48;0;0;0;0;0;0;0;0
371;5;28;0;0;0;0;0;0;0;0
366;5;25;0;0;0;0;0;0;0;0
314;5;26;0;0;0;0;0;0;0;0
313;5;24;0;0;0;0;0;0;0;0
29;5;24;1;0;0;0;0;0;0;0
321;5;23;0;0;0;0;0;0;0;0
23;5;23;1;0;0;0;0;0;0;0
408;5;33;0;0;0;0;0;0;0;0
353;5;34;0;0;0;0;0;0;0;0
25;5;34;1;0;0;0;0;0;0;0
28;5;32;1;0;0;1;0;0;0;0
353;5;32;0;0;0;1;0;0;0;0
194;5;31;0;0;0;1;0;0;0;0
212;5;31;0;0;0;0;0;0;0;0
338;5;29;0;0;0;0;0;0;0;0
37;5;29;1;0;0;0;0;0;0;0
168;5;30;0;0;1;0;0;0;0;0
198;5;30;0;0;0;0;0;0;0;0
373;5;41;0;0;0;0;0;0;0;0
400;5;38;0;0;0;0;0;0;0;0
430;5;39;0;0;0;0;0;0;0;0
386;5;35;0;0;0;0;0;0;0;0
380;5;37;0;0;0;0;0;0;0;0
383;5;36;0;0;0;0;0;0;0;0
410;5;47;0;0;0;0;0;0;0;0
357;5;45;0;0;0;0;0;0;0;0
35;5;45;1;0;0;0;0;0;0;0
419;5;46;0;0;0;0;0;0;0;0
26;5;46;1;0;0;0;0;0;0;0
423;5;44;0;0;0;0;0;0;0;0
26;5;42;1;0;0;0;0;0;0;0
336;5;42;0;0;0;0;0;0;0;0
396;5;43;0;0;0;0;0;0;0;0
65;5;52;0;0;0;0;0;0;0;1
220;5;52;0;0;0;0;0;0;0;0
22;5;52;1;0;0;0;0;0;0;0
29;5;53;0;0;0;0;0;0;1;0
400;5;51;0;0;0;0;0;0;0;0
375;5;49;0;0;0;0;0;0;0;0
42;5;49;1;0;0;0;0;0;0;0
432;5;50;0;0;0;0;0;0;0;0
