MUERTES;ANYO;SEMANA;FESTIVOS;SEMANA_SANTA;COLOMBIAMODA;FERIA_FLORES;ENERO_1;PUENTE_REYES;DIC_31;DIC_24
5;4;27;0;0;0;0;0;0;0;0
2;4;27;1;0;0;0;0;0;0;0
6;4;19;0;0;0;0;0;0;0;0
4;4;26;0;0;0;0;0;0;0;0
6;4;23;0;0;0;0;0;0;0;0
0;4;30;0;0;0;0;0;0;0;0
3;4;30;0;0;0;1;0;0;0;0
2;4;30;0;0;1;0;0;0;0;0
3;4;28;0;0;0;0;0;0;0;0
6;4;24;0;0;0;0;0;0;0;0
3;4;22;0;0;0;0;0;0;0;0
2;4;22;1;0;0;0;0;0;0;0
3;4;16;0;0;0;0;0;0;0;0
1;4;16;1;1;0;0;0;0;0;0
4;4;18;0;0;0;0;0;0;0;0
1;4;18;1;0;0;0;0;0;0;0
2;4;29;0;0;0;0;0;0;0;0
1;4;29;1;0;0;0;0;0;0;0
5;4;25;0;0;0;0;0;0;0;0
0;4;25;1;0;0;0;0;0;0;0
3;4;17;0;0;0;0;0;0;0;0
3;4;13;0;0;0;0;0;0;0;0
2;4;14;0;0;0;0;0;0;0;0
2;4;15;0;0;0;0;0;0;0;0
0;4;15;0;1;0;0;0;0;0;0
0;4;15;1;1;0;0;0;0;0;0
0;4;15;1;0;0;0;0;0;0;0
1;4;20;0;0;0;0;0;0;0;0
4;4;21;0;0;0;0;0;0;0;0
8;4;31;0;0;0;1;0;0;0;0
4;4;8;0;0;0;0;0;0;0;0
5;4;5;0;0;0;0;0;0;0;0
7;4;6;0;0;0;0;0;0;0;0
6;4;7;0;0;0;0;0;0;0;0
5;4;9;0;0;0;0;0;0;0;0
4;4;10;0;0;0;0;0;0;0;0
1;4;11;0;0;0;0;0;0;0;0
4;4;12;0;0;0;0;0;0;0;0
1;4;12;1;0;0;0;0;0;0;0
3;4;1;1;0;0;0;1;0;0;0
2;4;1;0;0;0;0;0;0;0;0
3;4;2;0;0;0;0;0;0;0;0
0;4;2;1;0;0;0;0;1;0;0
7;4;3;0;0;0;0;0;0;0;0
5;4;4;0;0;0;0;0;0;0;0
5;4;50;0;0;0;0;0;0;0;0
3;4;48;0;0;0;0;0;0;0;0
5;4;51;0;0;0;0;0;0;0;0
4;4;45;0;0;0;0;0;0;0;0
0;4;45;1;0;0;0;0;0;0;0
0;4;46;1;0;0;0;0;0;0;0
1;4;46;0;0;0;0;0;0;0;0
3;4;47;0;0;0;0;0;0;0;0
5;4;52;1;0;0;0;0;0;0;0
3;4;52;0;0;0;0;0;0;0;0
3;4;52;0;0;0;0;0;0;0;1
1;4;44;0;0;0;0;0;0;0;0
6;4;43;0;0;0;0;0;0;0;0
3;4;39;0;0;0;0;0;0;0;0
5;4;40;0;0;0;0;0;0;0;0
2;4;42;0;0;0;0;0;0;0;0
2;4;42;1;0;0;0;0;0;0;0
2;4;49;0;0;0;0;0;0;0;0
0;4;49;1;0;0;0;0;0;0;0
3;4;38;0;0;0;0;0;0;0;0
4;4;41;0;0;0;0;0;0;0;0
1;4;34;0;0;0;0;0;0;0;0
3;4;34;1;0;0;0;0;0;0;0
10;4;35;0;0;0;0;0;0;0;0
4;4;36;0;0;0;0;0;0;0;0
1;4;37;0;0;0;0;0;0;0;0
1;4;32;0;0;0;1;0;0;0;0
1;4;32;0;0;0;0;0;0;0;0
1;4;32;1;0;0;0;0;0;0;0
4;4;33;0;0;0;0;0;0;0;0
0;4;53;0;0;0;0;0;0;1;0
4;5;1;0;0;0;0;0;0;0;0
0;5;1;1;0;0;0;1;0;0;0
2;5;2;0;0;0;0;0;0;0;0
0;5;2;1;0;0;0;0;1;0;0
6;5;3;0;0;0;0;0;0;0;0
14;5;4;0;0;0;0;0;0;0;0
2;5;5;0;0;0;0;0;0;0;0
11;5;7;0;0;0;0;0;0;0;0
4;5;13;1;1;0;0;0;0;0;0
6;5;13;0;0;0;0;0;0;0;0
0;5;13;0;1;0;0;0;0;0;0
12;5;14;0;0;0;0;0;0;0;0
4;5;12;0;0;0;0;0;0;0;0
2;5;12;1;0;0;0;0;0;0;0
14;5;11;0;0;0;0;0;0;0;0
3;5;6;0;0;0;0;0;0;0;0
7;5;8;0;0;0;0;0;0;0;0
11;5;9;0;0;0;0;0;0;0;0
4;5;10;0;0;0;0;0;0;0;0
11;5;19;0;0;0;0;0;0;0;0
11;5;21;0;0;0;0;0;0;0;0
3;5;20;0;0;0;0;0;0;0;0
4;5;20;1;0;0;0;0;0;0;0
7;5;18;0;0;0;0;0;0;0;0
1;5;18;1;0;0;0;0;0;0;0
6;5;16;0;0;0;0;0;0;0;0
5;5;17;0;0;0;0;0;0;0;0
4;5;15;0;0;0;0;0;0;0;0
9;5;22;0;0;0;0;0;0;0;0
5;5;27;0;0;0;0;0;0;0;0
1;5;27;1;0;0;0;0;0;0;0
4;5;40;0;0;0;0;0;0;0;0
3;5;48;0;0;0;0;0;0;0;0
4;5;28;0;0;0;0;0;0;0;0
5;5;25;0;0;0;0;0;0;0;0
5;5;26;0;0;0;0;0;0;0;0
2;5;24;0;0;0;0;0;0;0;0
1;5;24;1;0;0;0;0;0;0;0
2;5;23;0;0;0;0;0;0;0;0
0;5;23;1;0;0;0;0;0;0;0
6;5;33;0;0;0;0;0;0;0;0
2;5;34;0;0;0;0;0;0;0;0
0;5;34;1;0;0;0;0;0;0;0
1;5;32;1;0;0;1;0;0;0;0
2;5;32;0;0;0;1;0;0;0;0
2;5;31;0;0;0;1;0;0;0;0
2;5;31;0;0;0;0;0;0;0;0
2;5;29;0;0;0;0;0;0;0;0
0;5;29;1;0;0;0;0;0;0;0
0;5;30;0;0;1;0;0;0;0;0
0;5;30;0;0;0;0;0;0;0;0
4;5;41;0;0;0;0;0;0;0;0
5;5;38;0;0;0;0;0;0;0;0
5;5;39;0;0;0;0;0;0;0;0
2;5;35;0;0;0;0;0;0;0;0
7;5;37;0;0;0;0;0;0;0;0
4;5;36;0;0;0;0;0;0;0;0
1;5;47;0;0;0;0;0;0;0;0
2;5;45;0;0;0;0;0;0;0;0
0;5;45;1;0;0;0;0;0;0;0
4;5;46;0;0;0;0;0;0;0;0
1;5;46;1;0;0;0;0;0;0;0
6;5;44;0;0;0;0;0;0;0;0
0;5;42;1;0;0;0;0;0;0;0
3;5;42;0;0;0;0;0;0;0;0
2;5;43;0;0;0;0;0;0;0;0
2;5;52;0;0;0;0;0;0;0;1
2;5;52;0;0;0;0;0;0;0;0
2;5;52;1;0;0;0;0;0;0;0
0;5;53;0;0;0;0;0;0;1;0
7;5;51;0;0;0;0;0;0;0;0
4;5;49;0;0;0;0;0;0;0;0
1;5;49;1;0;0;0;0;0;0;0
5;5;50;0;0;0;0;0;0;0;0
