HERIDOS;ANYO;SEMANA;FESTIVOS;SEMANA_SANTA;COLOMBIAMODA;FERIA_FLORES;ENERO_1;PUENTE_REYES;DIC_31;DIC_24
479;4;23;0;0;0;0;0;0;0;0
125;4;30;0;0;0;0;0;0;0;0
129;4;30;0;0;0;1;0;0;0;0
235;4;30;0;0;1;0;0;0;0;0
462;4;28;0;0;0;0;0;0;0;0
455;4;24;0;0;0;0;0;0;0;0
414;4;22;0;0;0;0;0;0;0;0
59;4;22;1;0;0;0;0;0;0;0
386;4;16;0;0;0;0;0;0;0;0
35;4;16;1;1;0;0;0;0;0;0
396;4;18;0;0;0;0;0;0;0;0
57;4;18;1;0;0;0;0;0;0;0
385;4;29;0;0;0;0;0;0;0;0
37;4;29;1;0;0;0;0;0;0;0
359;4;25;0;0;0;0;0;0;0;0
47;4;25;1;0;0;0;0;0;0;0
495;4;17;0;0;0;0;0;0;0;0
493;4;13;0;0;0;0;0;0;0;0
475;4;14;0;0;0;0;0;0;0;0
176;4;15;0;0;0;0;0;0;0;0
46;4;15;0;1;0;0;0;0;0;0
67;4;15;1;1;0;0;0;0;0;0
53;4;15;1;0;0;0;0;0;0;0
462;4;20;0;0;0;0;0;0;0;0
476;4;21;0;0;0;0;0;0;0;0
543;4;31;0;0;0;1;0;0;0;0
538;4;8;0;0;0;0;0;0;0;0
468;4;5;0;0;0;0;0;0;0;0
510;4;6;0;0;0;0;0;0;0;0
427;4;7;0;0;0;0;0;0;0;0
449;4;9;0;0;0;0;0;0;0;0
502;4;10;0;0;0;0;0;0;0;0
449;4;11;0;0;0;0;0;0;0;0
349;4;12;0;0;0;0;0;0;0;0
50;4;12;1;0;0;0;0;0;0;0
53;4;1;1;0;0;0;1;0;0;0
300;4;1;0;0;0;0;0;0;0;0
337;4;2;0;0;0;0;0;0;0;0
31;4;2;1;0;0;0;0;1;0;0
488;4;3;0;0;0;0;0;0;0;0
428;4;4;0;0;0;0;0;0;0;0
394;4;50;0;0;0;0;0;0;0;0
450;4;48;0;0;0;0;0;0;0;0
458;4;51;0;0;0;0;0;0;0;0
363;4;45;0;0;0;0;0;0;0;0
42;4;45;1;0;0;0;0;0;0;0
44;4;46;1;0;0;0;0;0;0;0
410;4;46;0;0;0;0;0;0;0;0
396;4;47;0;0;0;0;0;0;0;0
47;4;52;1;0;0;0;0;0;0;0
296;4;52;0;0;0;0;0;0;0;0
52;4;52;0;0;0;0;0;0;0;1
462;4;44;0;0;0;0;0;0;0;0
450;4;43;0;0;0;0;0;0;0;0
473;4;39;0;0;0;0;0;0;0;0
456;4;40;0;0;0;0;0;0;0;0
370;4;42;0;0;0;0;0;0;0;0
49;4;42;1;0;0;0;0;0;0;0
359;4;49;0;0;0;0;0;0;0;0
49;4;49;1;0;0;0;0;0;0;0
461;4;38;0;0;0;0;0;0;0;0
400;4;41;0;0;0;0;0;0;0;0
372;4;34;0;0;0;0;0;0;0;0
55;4;34;1;0;0;0;0;0;0;0
497;4;35;0;0;0;0;0;0;0;0
518;4;36;0;0;0;0;0;0;0;0
465;4;37;0;0;0;0;0;0;0;0
53;4;32;0;0;0;1;0;0;0;0
356;4;32;0;0;0;0;0;0;0;0
58;4;32;1;0;0;0;0;0;0;0
479;4;33;0;0;0;0;0;0;0;0
50;4;53;0;0;0;0;0;0;1;0
297;5;1;0;0;0;0;0;0;0;0
43;5;1;1;0;0;0;1;0;0;0
287;5;2;0;0;0;0;0;0;0;0
26;5;2;1;0;0;0;0;1;0;0
436;5;3;0;0;0;0;0;0;0;0
409;5;4;0;0;0;0;0;0;0;0
371;5;5;0;0;0;0;0;0;0;0
467;5;7;0;0;0;0;0;0;0;0
101;5;13;1;1;0;0;0;0;0;0
185;5;13;0;0;0;0;0;0;0;0
43;5;13;0;1;0;0;0;0;0;0
419;5;14;0;0;0;0;0;0;0;0
327;5;12;0;0;0;0;0;0;0;0
80;5;12;1;0;0;0;0;0;0;0
452;5;11;0;0;0;0;0;0;0;0
409;5;6;0;0;0;0;0;0;0;0
407;5;8;0;0;0;0;0;0;0;0
409;5;9;0;0;0;0;0;0;0;0
451;5;10;0;0;0;0;0;0;0;0
418;5;19;0;0;0;0;0;0;0;0
448;5;21;0;0;0;0;0;0;0;0
320;5;20;0;0;0;0;0;0;0;0
44;5;20;1;0;0;0;0;0;0;0
391;5;18;0;0;0;0;0;0;0;0
36;5;18;1;0;0;0;0;0;0;0
410;5;16;0;0;0;0;0;0;0;0
423;5;17;0;0;0;0;0;0;0;0
434;5;15;0;0;0;0;0;0;0;0
441;5;22;0;0;0;0;0;0;0;0
327;5;27;0;0;0;0;0;0;0;0
47;5;27;1;0;0;0;0;0;0;0
420;5;40;0;0;0;0;0;0;0;0
383;5;48;0;0;0;0;0;0;0;0
389;5;28;0;0;0;0;0;0;0;0
436;5;25;0;0;0;0;0;0;0;0
392;5;26;0;0;0;0;0;0;0;0
383;5;24;0;0;0;0;0;0;0;0
49;5;24;1;0;0;0;0;0;0;0
352;5;23;0;0;0;0;0;0;0;0
55;5;23;1;0;0;0;0;0;0;0
440;5;33;0;0;0;0;0;0;0;0
354;5;34;0;0;0;0;0;0;0;0
47;5;34;1;0;0;0;0;0;0;0
45;5;32;1;0;0;1;0;0;0;0
362;5;32;0;0;0;1;0;0;0;0
161;5;31;0;0;0;1;0;0;0;0
267;5;31;0;0;0;0;0;0;0;0
382;5;29;0;0;0;0;0;0;0;0
43;5;29;1;0;0;0;0;0;0;0
195;5;30;0;0;1;0;0;0;0;0
263;5;30;0;0;0;0;0;0;0;0
399;5;41;0;0;0;0;0;0;0;0
408;5;38;0;0;0;0;0;0;0;0
415;5;39;0;0;0;0;0;0;0;0
407;5;35;0;0;0;0;0;0;0;0
406;5;37;0;0;0;0;0;0;0;0
459;5;36;0;0;0;0;0;0;0;0
410;5;47;0;0;0;0;0;0;0;0
290;5;45;0;0;0;0;0;0;0;0
33;5;45;1;0;0;0;0;0;0;0
293;5;46;0;0;0;0;0;0;0;0
43;5;46;1;0;0;0;0;0;0;0
475;5;44;0;0;0;0;0;0;0;0
33;5;42;1;0;0;0;0;0;0;0
335;5;42;0;0;0;0;0;0;0;0
388;5;43;0;0;0;0;0;0;0;0
54;5;52;0;0;0;0;0;0;0;1
247;5;52;0;0;0;0;0;0;0;0
52;5;52;1;0;0;0;0;0;0;0
49;5;53;0;0;0;0;0;0;1;0
416;5;51;0;0;0;0;0;0;0;0
362;5;49;0;0;0;0;0;0;0;0
35;5;49;1;0;0;0;0;0;0;0
416;5;50;0;0;0;0;0;0;0;0
